-----------epoch0-----------
loss:0.12153995 acc:0.43478260869565216
loss:0.09809039 acc:0.55
loss:0.12399926 acc:0.4090909090909091
loss:0.15711187 acc:0.34615384615384615
loss:0.112330295 acc:0.3684210526315789
loss:0.14203858 acc:0.4090909090909091
loss:0.15196222 acc:0.43478260869565216
--------------------val_loss:0.11789535 val_acc:0.45454545454545453
loss:0.14188051 acc:0.34615384615384615
loss:0.12554212 acc:0.4166666666666667
loss:0.11735748 acc:0.47619047619047616
loss:0.10835643 acc:0.5
loss:0.10140584 acc:0.5263157894736842
loss:0.116187036 acc:0.55
loss:0.11918087 acc:0.45454545454545453
loss:0.11451416 acc:0.5
loss:0.093410894 acc:0.5789473684210527
loss:0.11777544 acc:0.5
--------------------val_loss:0.11302718 val_acc:0.46511627906976744
loss:0.08250596 acc:0.75
loss:0.089633 acc:0.6111111111111112
loss:0.116135076 acc:0.47619047619047616
loss:0.108999394 acc:0.5714285714285714
loss:0.1481019 acc:0.4
loss:0.13008985 acc:0.3
loss:0.110115446 acc:0.42857142857142855
loss:0.16097435 acc:0.36
loss:0.15810218 acc:0.2857142857142857
loss:0.1235158 acc:0.4166666666666667
--------------------val_loss:0.108014666 val_acc:0.46153846153846156
loss:0.09799431 acc:0.5454545454545454
loss:0.1568906 acc:0.4
loss:0.14824137 acc:0.4782608695652174
loss:0.09647639 acc:0.42857142857142855
loss:0.10273566 acc:0.5652173913043478
loss:0.10189724 acc:0.5
loss:0.13501695 acc:0.46153846153846156
loss:0.12812498 acc:0.48148148148148145
loss:0.13494559 acc:0.4166666666666667
loss:0.12921229 acc:0.4
--------------------val_loss:0.111556366 val_acc:0.45054945054945056
loss:0.09957145 acc:0.5238095238095238
loss:0.12695928 acc:0.3333333333333333
loss:0.1352669 acc:0.375
loss:0.11631217 acc:0.4583333333333333
loss:0.13866155 acc:0.34782608695652173
loss:0.10222262 acc:0.5
loss:0.117299184 acc:0.5
loss:0.10472958 acc:0.391304347826087
loss:0.13137326 acc:0.38461538461538464
loss:0.10104203 acc:0.5454545454545454
--------------------val_loss:0.11322256 val_acc:0.42391304347826086
loss:0.09144455 acc:0.5
loss:0.11631976 acc:0.4782608695652174
loss:0.16722874 acc:0.24
loss:0.14387846 acc:0.4166666666666667
loss:0.089026906 acc:0.5217391304347826
loss:0.12562124 acc:0.44
loss:0.08662703 acc:0.5263157894736842
loss:0.109017506 acc:0.45454545454545453
loss:0.104032956 acc:0.47368421052631576
loss:0.14254466 acc:0.45454545454545453
--------------------val_loss:0.104921676 val_acc:0.43333333333333335
loss:0.13763441 acc:0.391304347826087
loss:0.16608152 acc:0.3870967741935484
loss:0.12117092 acc:0.5555555555555556
loss:0.13020983 acc:0.48
loss:0.11534478 acc:0.4583333333333333
loss:0.08130034 acc:0.5
loss:0.119135976 acc:0.43478260869565216
loss:0.16680053 acc:0.23076923076923078
loss:0.057579778 acc:0.7058823529411765
loss:0.1012038 acc:0.55
--------------------val_loss:0.10285431 val_acc:0.4444444444444444
loss:0.11739298 acc:0.34782608695652173
loss:0.19861057 acc:0.2692307692307692
loss:0.10643492 acc:0.47619047619047616
loss:0.119046986 acc:0.5
loss:0.12471521 acc:0.38461538461538464
loss:0.08008089 acc:0.5555555555555556
loss:0.088841334 acc:0.45
loss:0.075003155 acc:0.5555555555555556
loss:0.11449008 acc:0.5238095238095238
