-----------epoch0-----------
loss:0.4407986 acc:0.23809523809523808
loss:0.44607496 acc:0.3181818181818182
--------------------val_loss:0.40167537 val_acc:0.25287356321839083
loss:0.41261443 acc:0.125
loss:0.42071432 acc:0.19230769230769232
loss:0.39281005 acc:0.22727272727272727
loss:0.41246933 acc:0.29411764705882354
loss:0.38186106 acc:0.18181818181818182
loss:0.39281383 acc:0.2631578947368421
loss:0.46011034 acc:0.15384615384615385
loss:0.40616614 acc:0.2608695652173913
loss:0.4331538 acc:0.3181818181818182
loss:0.42710835 acc:0.16666666666666666
--------------------val_loss:0.41715688 val_acc:0.12790697674418605
loss:0.4567097 acc:0.18518518518518517
loss:0.3774662 acc:0.25
loss:0.41501504 acc:0.2608695652173913
loss:0.38491267 acc:0.3
loss:0.4048767 acc:0.22727272727272727
loss:0.4224395 acc:0.15789473684210525
loss:0.426591 acc:0.22727272727272727
loss:0.42883438 acc:0.11538461538461539
loss:0.4196921 acc:0.09090909090909091
loss:0.43260455 acc:0.15789473684210525
--------------------val_loss:0.42523965 val_acc:0.2261904761904762
loss:0.39506286 acc:0.14285714285714285
loss:0.43351308 acc:0.22727272727272727
loss:0.42384315 acc:0.18518518518518517
loss:0.41361818 acc:0.29411764705882354
loss:0.43659553 acc:0.38095238095238093
loss:0.4325927 acc:0.17391304347826086
loss:0.44021374 acc:0.14285714285714285
loss:0.40538794 acc:0.13043478260869565
loss:0.44196615 acc:0.21052631578947367
loss:0.38879162 acc:0.2777777777777778
--------------------val_loss:0.4055186 val_acc:0.21348314606741572
loss:0.37873456 acc:0.19047619047619047
loss:0.40411592 acc:0.30434782608695654
loss:0.3924645 acc:0.38095238095238093
loss:0.39561626 acc:0.30434782608695654
loss:0.42851394 acc:0.125
loss:0.4166139 acc:0.4
loss:0.39365393 acc:0.30434782608695654
loss:0.39354026 acc:0.18181818181818182
loss:0.3878377 acc:0.3888888888888889
loss:0.38839936 acc:0.2608695652173913
--------------------val_loss:0.413239 val_acc:0.16483516483516483
loss:0.39139035 acc:0.3181818181818182
loss:0.41947454 acc:0.16666666666666666
loss:0.37692982 acc:0.2727272727272727
loss:0.38744432 acc:0.15
loss:0.44028097 acc:0.19230769230769232
loss:0.4227329 acc:0.2
loss:0.42493254 acc:0.25925925925925924
loss:0.43188483 acc:0.25
loss:0.40705195 acc:0.2
loss:0.397577 acc:0.09090909090909091
--------------------val_loss:0.42028984 val_acc:0.23255813953488372
loss:0.4097095 acc:0.2727272727272727
loss:0.42974645 acc:0.19047619047619047
loss:0.4211622 acc:0.125
loss:0.40628058 acc:0.22727272727272727
loss:0.44136724 acc:0.16666666666666666
loss:0.40586966 acc:0.16666666666666666
loss:0.38592458 acc:0.18181818181818182
loss:0.40043616 acc:0.22727272727272727
loss:0.3786165 acc:0.3
loss:0.44271952 acc:0.08
--------------------val_loss:0.42162102 val_acc:0.2159090909090909
loss:0.4405388 acc:0.045454545454545456
loss:0.40514416 acc:0.2608695652173913
loss:0.41975492 acc:0.21428571428571427
loss:0.47361454 acc:0.3333333333333333
loss:0.41022032 acc:0.15789473684210525
loss:0.39659777 acc:0.25
loss:0.48143548 acc:0.15384615384615385
loss:0.43287444 acc:0.22727272727272727
loss:0.4234713 acc:0.375
loss:0.41943106 acc:0.13636363636363635
--------------------val_loss:0.42020935 val_acc:0.2558139534883721
loss:0.38484386 acc:0.3333333333333333
loss:0.40547508 acc:0.34615384615384615
loss:0.4353158 acc:0.2
loss:0.3957823 acc:0.3333333333333333
loss:0.40453535 acc:0.36
loss:0.41988492 acc:0.35
loss:0.37652475 acc:0.4
loss:0.4254624 acc:0.2631578947368421
loss:0.3922316 acc:0.1
loss:0.42888927 acc:0.125
--------------------val_loss:0.41740593 val_acc:0.16666666666666666
loss:0.41513786 acc:0.19047619047619047
loss:0.3807757 acc:0.3333333333333333
loss:0.3831269 acc:0.3
loss:0.39361748 acc:0.15
loss:0.4124785 acc:0.55
loss:0.40933076 acc:0.20833333333333334
loss:0.42377943 acc:0.25
loss:0.4059299 acc:0.42105263157894735
loss:0.3807064 acc:0.3333333333333333
loss:0.40224522 acc:0.2857142857142857
--------------------val_loss:0.42370263 val_acc:0.19767441860465115
loss:0.46551877 acc:0.19230769230769232
loss:0.4129738 acc:0.2857142857142857
loss:0.40530807 acc:0.2631578947368421
loss:0.37708217 acc:0.2857142857142857
loss:0.4039647 acc:0.2857142857142857
loss:0.3920173 acc:0.2608695652173913
loss:0.4350559 acc:0.2
loss:0.4228053 acc:0.125
loss:0.4103914 acc:0.4
loss:0.39408106 acc:0.18181818181818182
--------------------val_loss:0.4003223 val_acc:0.1724137931034483
loss:0.3901807 acc:0.2608695652173913
loss:0.4339407 acc:0.19230769230769232
loss:0.39749783 acc:0.2
loss:0.37727264 acc:0.21739130434782608
loss:0.43974918 acc:0.13636363636363635
loss:0.4211812 acc:0.14285714285714285
loss:0.4347443 acc:0.4
loss:0.42760152 acc:0.2692307692307692
loss:0.40482393 acc:0.3
loss:0.44697532 acc:0.4090909090909091
--------------------val_loss:0.40566364 val_acc:0.18888888888888888
loss:0.40909058 acc:0.23809523809523808
loss:0.42416233 acc:0.20833333333333334
loss:0.39926216 acc:0.2857142857142857
loss:0.39812785 acc:0.2692307692307692
loss:0.38317785 acc:0.2631578947368421
loss:0.446935 acc:0.17857142857142858
loss:0.4547929 acc:0.17391304347826086
loss:0.4072694 acc:0.16666666666666666
loss:0.3805521 acc:0.3157894736842105
loss:0.42363197 acc:0.3103448275862069
--------------------val_loss:0.39590186 val_acc:0.2247191011235955
loss:0.4756574 acc:0.13793103448275862
loss:0.42310014 acc:0.391304347826087
loss:0.4024865 acc:0.34782608695652173
loss:0.42007416 acc:0.20833333333333334
loss:0.38951117 acc:0.09523809523809523
loss:0.37745196 acc:0.13043478260869565
loss:0.38025802 acc:0.11538461538461539
loss:0.39279193 acc:0.21052631578947367
loss:0.41359895 acc:0.2857142857142857
loss:0.44831914 acc:0.14814814814814814
--------------------val_loss:0.39788613 val_acc:0.18888888888888888
loss:0.38339597 acc:0.2
loss:0.36141396 acc:0.18181818181818182
loss:0.3836132 acc:0.23809523809523808
loss:0.38549942 acc:0.3333333333333333
loss:0.38307217 acc:0.2222222222222222
loss:0.42870575 acc:0.25
loss:0.4152212 acc:0.22727272727272727
loss:0.40956298 acc:0.3333333333333333
loss:0.41683006 acc:0.10526315789473684
loss:0.3641305 acc:0.19047619047619047
--------------------val_loss:0.43278813 val_acc:0.21839080459770116
loss:0.42250094 acc:0.13043478260869565
loss:0.3802258 acc:0.3181818181818182
loss:0.37839192 acc:0.38095238095238093
loss:0.40033436 acc:0.2916666666666667
loss:0.40779296 acc:0.09523809523809523
loss:0.40192834 acc:0.2857142857142857
loss:0.40475097 acc:0.14285714285714285
loss:0.39240915 acc:0.2857142857142857
loss:0.47907487 acc:0.10714285714285714
loss:0.41601 acc:0.1111111111111111
--------------------val_loss:0.4268468 val_acc:0.2826086956521739
loss:0.3827023 acc:0.36
loss:0.3675281 acc:0.4
loss:0.40484947 acc:0.14814814814814814
loss:0.41186824 acc:0.30434782608695654
loss:0.4464608 acc:0.2222222222222222
loss:0.42281976 acc:0.2631578947368421
loss:0.42633694 acc:0.2
loss:0.41049498 acc:0.21739130434782608
loss:0.40822607 acc:0.38095238095238093
loss:0.38975257 acc:0.3684210526315789
--------------------val_loss:0.40370274 val_acc:0.19540229885057472
loss:0.37437755 acc:0.3
loss:0.47101325 acc:0.07407407407407407
loss:0.39150482 acc:0.25
loss:0.43191567 acc:0.14285714285714285
loss:0.39607653 acc:0.3333333333333333
loss:0.44175926 acc:0.2
loss:0.36265072 acc:0.21739130434782608
loss:0.41766444 acc:0.18518518518518517
loss:0.3986082 acc:0.3157894736842105
loss:0.37728423 acc:0.2857142857142857
--------------------val_loss:0.39814058 val_acc:0.24719101123595505
loss:0.42768106 acc:0.28
loss:0.39307007 acc:0.3157894736842105
loss:0.4061796 acc:0.14285714285714285
loss:0.3898215 acc:0.3
loss:0.39782336 acc:0.2916666666666667
loss:0.4035636 acc:0.23809523809523808
loss:0.3824698 acc:0.34615384615384615
loss:0.39961335 acc:0.36363636363636365
loss:0.39472145 acc:0.19047619047619047
loss:0.3914727 acc:0.3333333333333333
--------------------val_loss:0.39456087 val_acc:0.23595505617977527
loss:0.42321023 acc:0.25
loss:0.42563757 acc:0.16
loss:0.38357425 acc:0.28
loss:0.44002095 acc:0.045454545454545456
loss:0.37614325 acc:0.19047619047619047
loss:0.4449405 acc:0.23076923076923078
loss:0.40788954 acc:0.24
loss:0.42454624 acc:0.045454545454545456
loss:0.41378766 acc:0.2608695652173913
loss:0.40373802 acc:0.21739130434782608
--------------------val_loss:0.3847491 val_acc:0.25
loss:0.36687118 acc:0.2631578947368421
loss:0.40135145 acc:0.23809523809523808
loss:0.37653735 acc:0.3333333333333333
loss:0.43944487 acc:0.14285714285714285
loss:0.3954884 acc:0.2608695652173913
loss:0.44393572 acc:0.14814814814814814
loss:0.4185962 acc:0.23809523809523808
loss:0.40715393 acc:0.2916666666666667
loss:0.4110891 acc:0.2692307692307692
loss:0.37913212 acc:0.4166666666666667
--------------------val_loss:0.40640837 val_acc:0.20454545454545456
loss:0.45751366 acc:0.32142857142857145
loss:0.4048174 acc:0.21739130434782608
loss:0.3904191 acc:0.25
loss:0.38338405 acc:0.24
loss:0.39624622 acc:0.3
loss:0.4332142 acc:0.3181818181818182
loss:0.39036685 acc:0.11764705882352941
loss:0.4009188 acc:0.2
loss:0.3805322 acc:0.2222222222222222
loss:0.4049476 acc:0.23809523809523808
--------------------val_loss:0.3791864 val_acc:0.2988505747126437
loss:0.42950845 acc:0.2608695652173913
loss:0.39495975 acc:0.2727272727272727
loss:0.38783473 acc:0.19230769230769232
loss:0.395068 acc:0.375
loss:0.3611608 acc:0.17391304347826086
loss:0.41533932 acc:0.08333333333333333
loss:0.44191113 acc:0.32142857142857145
loss:0.42636627 acc:0.30434782608695654
loss:0.3830611 acc:0.4
loss:0.38100678 acc:0.391304347826087
--------------------val_loss:0.38395268 val_acc:0.3563218390804598
loss:0.37641525 acc:0.3181818181818182
loss:0.38278624 acc:0.2727272727272727
loss:0.40241823 acc:0.25925925925925924
loss:0.41995296 acc:0.38461538461538464
loss:0.40875977 acc:0.28
loss:0.41138095 acc:0.23076923076923078
loss:0.4224855 acc:0.38095238095238093
loss:0.4357481 acc:0.18181818181818182
loss:0.4008731 acc:0.2608695652173913
loss:0.37585962 acc:0.125
--------------------val_loss:0.37269434 val_acc:0.3023255813953488
loss:0.39292645 acc:0.3333333333333333
loss:0.40001082 acc:0.2727272727272727
loss:0.3994418 acc:0.25
loss:0.3845168 acc:0.25
loss:0.3942368 acc:0.2727272727272727
loss:0.41752377 acc:0.23076923076923078
loss:0.40261564 acc:0.16666666666666666
loss:0.3973449 acc:0.3333333333333333
loss:0.4154082 acc:0.23809523809523808
loss:0.38668105 acc:0.14285714285714285
--------------------val_loss:0.3996722 val_acc:0.29411764705882354
loss:0.38330135 acc:0.13636363636363635
loss:0.3968944 acc:0.36363636363636365
loss:0.4097167 acc:0.12
loss:0.40746003 acc:0.23076923076923078
